grid_dim,n_train,n_holdout,n_test,p_features,polykernel_degree,polykernel_noise_half_width,SPOplus_spoloss_test,LS_spoloss_test,SSVM_spoloss_test,RF_spoloss_test,Absolute_spoloss_test,Huber_spoloss_test,Baseline_spoloss_test,SPOplus_hammingloss_test,LS_hammingloss_test,SSVM_hammingloss_test,RF_hammingloss_test,Absolute_hammingloss_test,Huber_hammingloss_test,Baseline_hammingloss_test,zstar_avg_test
2,1000,250,10000,5,2,0,0.006852005814725028,0.005824973947260132,0.006634698308428146,0.052571809812596494,0.012482035142412922,0.007110819400666962,2.3076471664375076,0.0402,0.04,0.0404,0.1152,0.049,0.0384,0.9754,18.544685228611996
2,1000,250,10000,5,2,0,0.004409471157146288,0.011026307784090533,0.004202028613194791,0.05735329044367465,0.005841234100371676,0.005802439064634403,1.9253295867737406,0.0346,0.0682,0.035,0.136,0.0442,0.0438,0.994,18.43939021310542
2,1000,250,10000,5,2,0,0.003724022618443358,0.003907320053382946,0.003486717910331712,0.027739718920246566,0.0026011985613339475,0.0026011985613339475,2.321710127099034,0.0298,0.0368,0.032,0.0888,0.025,0.025,0.9982,18.85911108816123
2,1000,250,10000,5,2,0,0.007322834298594353,0.009438824806404456,0.007988153867778021,0.038166625052347934,0.00843907749047557,0.00843907749047557,1.7947116217036918,0.0448,0.058,0.049,0.1166,0.053,0.053,1.0112,19.23016218794121
2,1000,250,10000,5,2,0.5,1.2174244710359206,1.2375162491652476,1.224246296247014,1.3423608302816057,1.2371043217717523,1.2046900448452078,2.87439141158232,0.5606,0.564,0.5594,0.5904,0.563,0.558,1.0102,17.7149867678009
2,1000,250,10000,5,2,0.5,0.9490514286770787,0.9374655309330641,0.9756222983744072,1.016443022064796,0.9359918096182439,0.9278227878859335,3.9166822196020323,0.46,0.4578,0.4674,0.482,0.4588,0.4572,1.0172,17.119765557180845
2,1000,250,10000,5,2,0.5,0.8951411913523442,0.8981801585063515,0.9037402857292295,0.9902180225570497,0.8999740392099533,0.9036944020699286,3.8816390908227745,0.442,0.4414,0.4438,0.461,0.44,0.4404,0.9964,17.313624282950272
2,1000,250,10000,5,2,0.5,1.6752394366726464,1.6997137559335282,1.6680790520392772,1.7836246210931397,1.7066411906838956,1.7066411906838956,2.5571378153267084,0.7484,0.7586,0.7466,0.7762,0.7574,0.7574,1.0276,18.031995139054697
2,1000,250,10000,5,2,0.5,1.4615449952219333,1.4708744580412523,1.4518738007712884,1.566914736612375,1.479952746912857,1.4819029648728719,2.816979987409867,0.6578,0.6602,0.653,0.689,0.6642,0.6654,1.0038,18.32051995217704
2,1000,250,10000,5,4,0,1.0612298419488182,1.0918204223917711,1.0722922294098298,0.7685007167028186,1.3314490136295052,1.3314490136295052,43.46924419418904,0.1138,0.1054,0.106,0.099,0.109,0.109,0.9234,153.16452209771538
2,1000,250,10000,5,4,0,0.6437620836002469,2.505827194871954,0.6699497532368349,1.9336613184628335,0.7884630312075311,0.8577865104765078,44.086456510993166,0.0812,0.1884,0.0808,0.1438,0.1046,0.1108,0.9782,163.62045917559314
2,1000,250,10000,5,4,0,0.18786193902540776,3.210103910977528,0.16705450329551094,2.9571163133824188,0.9338801859866765,1.197511571507538,32.34342765778651,0.0446,0.2722,0.0414,0.1948,0.1352,0.156,1.0056,154.18842013505818
2,1000,250,10000,5,4,0,0.9832742579261842,1.8646421035240552,1.0162673085221323,1.436434391008548,1.166379419763307,1.166379419763307,43.148751699613946,0.1056,0.175,0.1024,0.1136,0.1256,0.1256,0.9792,154.11443970262582
2,1000,250,10000,5,4,0,0.4236784121885854,0.7425059168841722,0.4188719543682625,0.4476135457728219,0.5632476520449039,0.5632476520449039,43.03149628414641,0.0872,0.116,0.0806,0.074,0.0858,0.0858,1.0128,152.92128312842618
2,1000,250,10000,5,4,0.5,7.341676492786032,9.520466877624617,7.047824910599424,8.3909672436524,6.88572757856032,6.88572757856032,50.31513669922722,0.2816,0.3234,0.2756,0.3108,0.2742,0.2742,0.9672,159.6527390221382
2,1000,250,10000,5,4,0.5,5.303593691113832,5.63744705733733,5.44203775423051,6.923688164731104,5.1965572919213034,5.1965572919213034,66.87805261418522,0.2336,0.2412,0.237,0.2664,0.2346,0.2346,0.9868,152.1588973939117
2,1000,250,10000,5,4,0.5,6.3989910255625455,6.209824237969035,6.418471142851437,6.665360479795666,6.299267709441313,6.177444020849214,71.83925444612747,0.2692,0.2736,0.2748,0.2756,0.2712,0.2704,1.0038,149.1662507813476
2,1000,250,10000,5,4,0.5,6.672745143704499,6.638407619420362,6.454526865219949,6.894224636650378,6.799965351729612,7.021834160749898,51.00412616861536,0.3204,0.335,0.3104,0.3286,0.3326,0.331,1.0608,147.04380435365013
2,1000,250,10000,5,4,0.5,5.32094341484376,10.250909185944286,5.175501712497423,9.888508626171303,5.612567631042377,5.483557947975342,50.01863172885945,0.2342,0.3094,0.2138,0.339,0.2388,0.2388,1.0432,169.26957190511115
2,1000,250,10000,5,6,0,33.47364688136029,44.34198816627296,37.322984860196534,15.279629534653939,31.370691283471235,36.38596357888494,480.84497820513985,0.1748,0.2658,0.1622,0.1214,0.1768,0.193,0.978,1532.4274085599088
2,1000,250,10000,5,6,0,3.0019779451666723e-4,27.507847304708395,0.002148366819633591,15.846957744334114,3.5167840639816634,3.5167840639816634,264.7193997674888,0.002,0.2144,0.0024,0.1812,0.1256,0.1256,1.0114,2598.084346560347
2,1000,250,10000,5,6,0,14.2959484810805,13.356036767618187,8.961093123275173,10.86491300899615,11.496488857463381,12.609919604984155,803.4148119793399,0.0906,0.1168,0.0912,0.0842,0.098,0.1,1.0426,1213.9107859361657
2,1000,250,10000,5,6,0,0.00254771385625703,18.412333605572723,0.010883603100700839,8.143370357521071,1.5323739245184365,2.7073815496943827,432.75607194096744,0.002,0.1562,0.005,0.0936,0.0682,0.077,0.9916,1273.7420990712196
2,1000,250,10000,5,6,0,35.431507919283,94.4017538328081,33.97484838216316,36.33213889670307,49.004388237373604,48.62636799920231,707.0149140459837,0.1586,0.2766,0.1576,0.1524,0.1756,0.1758,1.0616,1573.531194378941
2,1000,250,10000,5,6,0.5,114.85619771226142,167.4272977772988,121.5888606707882,136.69419687374187,113.89192092798648,112.33940772181461,692.4698870473114,0.297,0.3642,0.312,0.3346,0.302,0.3004,0.9286,2196.8252981402247
2,1000,250,10000,5,6,0.5,131.66493912986166,185.53355203435711,134.50518116663585,131.3055986118317,143.44191047947237,147.9247001661927,645.4917024248247,0.306,0.373,0.3028,0.3194,0.322,0.324,1.0884,1922.5887903749165
2,1000,250,10000,5,6,0.5,90.84931793597087,165.9437629787493,98.45535154616094,121.98983518681783,125.20765450513757,125.20765450513757,786.7053428327264,0.2564,0.3408,0.2548,0.2906,0.2964,0.2964,1.091,1754.2775252492436
2,1000,250,10000,5,6,0.5,87.89418390580362,91.01147293617079,85.30122128979305,118.48122516507355,84.57313073643333,85.42467340017937,693.458628383782,0.327,0.3254,0.3222,0.3566,0.319,0.3204,0.999,2144.765363702854
2,1000,250,10000,5,6,0.5,25.31910905253531,103.13263318837573,25.160893069792838,65.71447561174398,32.6404658975706,36.086108042712105,1159.576656092825,0.1154,0.222,0.1152,0.192,0.1354,0.138,1.0472,1119.298037615363
2,1000,250,10000,5,8,0,1945.2229421086024,3025.904576399569,1698.0474049203124,1453.694853947756,2283.650867289875,2386.3044596008485,6375.619487306939,0.3516,0.4596,0.3442,0.3388,0.4778,0.4196,0.9966,22584.32521291303
2,1000,250,10000,5,8,0,1468.2384694615776,1901.5479681361967,1436.6260286029135,1007.7301935223248,2040.1189718191788,2109.2701449939113,15462.582017308858,0.2128,0.291,0.2144,0.1822,0.25,0.2578,1.0556,28185.849095437487
2,1000,250,10000,5,8,0,350.8552241723737,2647.6877212407453,357.62340411561155,1521.7643630674447,435.7332852241276,974.0352621967623,16332.79612627302,0.1066,0.245,0.0996,0.1958,0.1294,0.1636,0.9946,19154.320555215636
